SAXPY Time: 0.512128
Threads:   1  SAXPY Time: 0.513491
Threads:   2  SAXPY Time: 0.264634
Threads:   3  SAXPY Time: 0.177902
Threads:   4  SAXPY Time: 0.135248
Threads:   5  SAXPY Time: 0.109646
Threads:   6  SAXPY Time: 0.087660
Threads:   7  SAXPY Time: 0.076187
Threads:   8  SAXPY Time: 0.066423
Threads:   9  SAXPY Time: 0.060045
Threads:  10  SAXPY Time: 0.056274
Threads:  11  SAXPY Time: 0.053795
Threads:  12  SAXPY Time: 0.056454
Threads:  13  SAXPY Time: 0.050391
Threads:  14  SAXPY Time: 0.049416
Threads:  15  SAXPY Time: 0.049150
Threads:  16  SAXPY Time: 0.047854
Threads:  17  SAXPY Time: 0.050004
Threads:  18  SAXPY Time: 0.047265
Threads:  19  SAXPY Time: 0.050390
Threads:  20  SAXPY Time: 0.047667
Threads:  21  SAXPY Time: 0.047593
Threads:  22  SAXPY Time: 0.047480
Threads:  23  SAXPY Time: 0.048557
Threads:  24  SAXPY Time: 0.048442
Threads:  25  SAXPY Time: 0.045993
Threads:  26  SAXPY Time: 0.044188
Threads:  27  SAXPY Time: 0.042426
Threads:  28  SAXPY Time: 0.041046
Threads:  29  SAXPY Time: 0.040595
Threads:  30  SAXPY Time: 0.058625
Threads:  31  SAXPY Time: 0.048195
Threads:  32  SAXPY Time: 0.057938
Threads:  33  SAXPY Time: 0.034551
Threads:  34  SAXPY Time: 0.035852
Threads:  35  SAXPY Time: 0.049887
Threads:  36  SAXPY Time: 0.036961
Threads:  37  SAXPY Time: 0.051236
Threads:  38  SAXPY Time: 0.031137
Threads:  39  SAXPY Time: 0.032729
Threads:  40  SAXPY Time: 0.040743
Threads:  41  SAXPY Time: 0.040229
Threads:  42  SAXPY Time: 0.041303
Threads:  43  SAXPY Time: 0.039097
Threads:  44  SAXPY Time: 0.031806
Threads:  45  SAXPY Time: 0.038144
Threads:  46  SAXPY Time: 0.039612
Threads:  47  SAXPY Time: 0.037835
Threads:  48  SAXPY Time: 0.026348
SAXPY Time: 3.434997
SAXPY Time: 0.019029
Total time was 0.000008 seconds.
