Init Time:  0.026 Calc Time:  9.446 GFlops:   0.635
Threads:    1 Init Time:  0.026 Calc Time:  9.453 GFlops:   0.635
Threads:    2 Init Time:  0.025 Calc Time:  4.758 GFlops:   1.261
Threads:    3 Init Time:  0.025 Calc Time:  3.185 GFlops:   1.884
Threads:    4 Init Time:  0.025 Calc Time:  2.375 GFlops:   2.526
Threads:    5 Init Time:  0.025 Calc Time:  1.902 GFlops:   3.154
Threads:    6 Init Time:  0.026 Calc Time:  1.589 GFlops:   3.777
Threads:    7 Init Time:  0.025 Calc Time:  1.367 GFlops:   4.391
Threads:    8 Init Time:  0.025 Calc Time:  1.194 GFlops:   5.026
Threads:    9 Init Time:  0.025 Calc Time:  1.065 GFlops:   5.633
Threads:   10 Init Time:  0.025 Calc Time:  0.957 GFlops:   6.268
Threads:   11 Init Time:  0.026 Calc Time:  0.875 GFlops:   6.858
Threads:   12 Init Time:  0.026 Calc Time:  0.800 GFlops:   7.500
Threads:   13 Init Time:  0.025 Calc Time:  0.743 GFlops:   8.079
Threads:   14 Init Time:  0.026 Calc Time:  0.691 GFlops:   8.682
Threads:   15 Init Time:  0.026 Calc Time:  0.640 GFlops:   9.380
Threads:   16 Init Time:  0.025 Calc Time:  0.604 GFlops:   9.941
Threads:   17 Init Time:  0.026 Calc Time:  0.572 GFlops:  10.486
Threads:   18 Init Time:  0.025 Calc Time:  0.540 GFlops:  11.107
Threads:   19 Init Time:  0.026 Calc Time:  0.507 GFlops:  11.832
Threads:   20 Init Time:  0.025 Calc Time:  0.482 GFlops:  12.450
Threads:   21 Init Time:  0.025 Calc Time:  0.463 GFlops:  12.956
Threads:   22 Init Time:  0.025 Calc Time:  0.443 GFlops:  13.536
Threads:   23 Init Time:  0.025 Calc Time:  0.424 GFlops:  14.138
Threads:   24 Init Time:  0.026 Calc Time:  0.402 GFlops:  14.913
Threads:   25 Init Time:  0.026 Calc Time:  0.409 GFlops:  14.671
Threads:   26 Init Time:  0.025 Calc Time:  0.407 GFlops:  14.744
Threads:   27 Init Time:  0.025 Calc Time:  0.404 GFlops:  14.861
Threads:   28 Init Time:  0.025 Calc Time:  0.398 GFlops:  15.062
Threads:   29 Init Time:  0.026 Calc Time:  0.405 GFlops:  14.821
Threads:   30 Init Time:  0.025 Calc Time:  0.328 GFlops:  18.301
Threads:   31 Init Time:  0.026 Calc Time:  0.331 GFlops:  18.107
Threads:   32 Init Time:  0.026 Calc Time:  0.374 GFlops:  16.054
Threads:   33 Init Time:  0.026 Calc Time:  0.429 GFlops:  13.995
Threads:   34 Init Time:  0.026 Calc Time:  0.333 GFlops:  18.022
Threads:   35 Init Time:  0.026 Calc Time:  0.286 GFlops:  20.988
Threads:   36 Init Time:  0.026 Calc Time:  0.275 GFlops:  21.795
Threads:   37 Init Time:  0.026 Calc Time:  0.352 GFlops:  17.051
Threads:   38 Init Time:  0.025 Calc Time:  0.262 GFlops:  22.872
Threads:   39 Init Time:  0.026 Calc Time:  0.260 GFlops:  23.073
Threads:   40 Init Time:  0.026 Calc Time:  0.306 GFlops:  19.611
Threads:   41 Init Time:  0.026 Calc Time:  0.243 GFlops:  24.645
Threads:   42 Init Time:  0.026 Calc Time:  0.240 GFlops:  25.022
Threads:   43 Init Time:  0.026 Calc Time:  0.231 GFlops:  25.985
Threads:   44 Init Time:  0.026 Calc Time:  0.231 GFlops:  26.004
Threads:   45 Init Time:  0.026 Calc Time:  0.225 GFlops:  26.701
Threads:   46 Init Time:  0.026 Calc Time:  0.218 GFlops:  27.488
Threads:   47 Init Time:  0.026 Calc Time:  0.413 GFlops:  14.526
Threads:   48 Init Time:  0.026 Calc Time:  0.215 GFlops:  27.879
Init Time:  0.012 Calc Time:  0.071 GFlops:  84.511
